institution_id,raw_school_text,suggested_institution_name,wikidata_id,wikipedia_url,country,locality,latitude,longitude,institution_type,confidence,notes,historical_match_name,historical_acara_id,historical_source,review_status,resolved_school_name,resolved_acara_id,resolved_wikidata_id,resolved_country,resolved_state,resolved_suburb,resolved_postcode,resolved_address,resolved_latitude,resolved_longitude,manual_source_url,address_source_url,review_notes
inst-unmatched-deakin-high-school,Deakin High School,Alfred Deakin High School,Q4722527,https://en.wikipedia.org/wiki/Alfred_Deakin_High_School,Australia,Australian Capital Territory,-35.324,149.095,public school,suggested,Derived from Wikipedia/Wikidata page Alfred Deakin High School (Q4722527),Holy Rosary Catholic School,40003,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-duval-high-school,Duval High School,Duval High School,Q5317602,https://en.wikipedia.org/wiki/Duval_High_School,Australia,New South Wales,-30.49444444,151.66444444,high school,suggested,Derived from Wikipedia/Wikidata page Duval High School (Q5317602),Lismore Public School,42200,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-eynesbury-college,Eynesbury College,Eynesbury Senior College,Q5422948,https://en.wikipedia.org/wiki/Eynesbury_Senior_College,Australia,South Australia,-34.9275,138.59833333,former educational institution,suggested,Derived from Wikipedia/Wikidata page Eynesbury Senior College (Q5422948),Trinity College North,49830,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-gawler-high-school,Gawler High School,Gawler and District College,Q5528459,https://en.wikipedia.org/wiki/Gawler_and_District_College,Australia,South Australia,-34.6195,138.738,unified school district,suggested,Derived from Wikipedia/Wikidata page Gawler and District College (Q5528459),Gawler and District College B-12,49458,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-geelong-college,Geelong College,Geelong College,Q7736020,https://en.wikipedia.org/wiki/Geelong_College,Australia,Victoria,-38.15138889,144.33833333,nonprofit organization,suggested,Derived from Wikipedia/Wikidata page Geelong College (Q7736020),Sacred Heart School,45914,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-geelong-grammar-school,Geelong Grammar School,Geelong Grammar School,Q633448,https://en.wikipedia.org/wiki/Geelong_Grammar_School,Australia,City of Greater Geelong,-38.070222,144.398807,boarding school,suggested,Derived from Wikipedia/Wikidata page Geelong Grammar School (Q633448),Thomas Carr College,46102,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-geilston-bay-high-school,Geilston Bay High School,Geilston Bay High School,Q5530143,https://en.wikipedia.org/wiki/Geilston_Bay_High_School,Australia,Tasmania,-42.8376,147.3488,high school,suggested,Derived from Wikipedia/Wikidata page Geilston Bay High School (Q5530143),,,,pending,,,,,,,,,,,,,
inst-unmatched-greythorn-high-school,Greythorn High School,Greythorn High School,Q5608510,https://en.wikipedia.org/wiki/Greythorn_High_School,Australia,Victoria,-37.79208333,145.09847222,high school,suggested,Derived from Wikipedia/Wikidata page Greythorn High School (Q5608510),,,,pending,,,,,,,,,,,,,
inst-unmatched-harvey-agricultural-senior-high-school,Harvey Agricultural Senior High School,Harvey Senior High School,Q5677580,https://en.wikipedia.org/wiki/Harvey_Senior_High_School,Australia,Western Australia,-33.08361111,115.9075,high school,suggested,Derived from Wikipedia/Wikidata page Harvey Senior High School (Q5677580),River Valley Primary School,48312,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-hobart-matriculation-college,Hobart Matriculation College,"Hobart College, Tasmania",Q5874683,https://en.wikipedia.org/wiki/Hobart_College%2C_Tasmania,Australia,City of Hobart,-42.91933,147.31591,secondary school,suggested,"Derived from Wikipedia/Wikidata page Hobart College, Tasmania (Q5874683)",Elizabeth College,40444,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-hutchins-school,Hutchins School,The Hutchins School,Q7741168,https://en.wikipedia.org/wiki/The_Hutchins_School,Australia,Tasmania,-42.90583333,147.32944444,independent school,suggested,Derived from Wikipedia/Wikidata page The Hutchins School (Q7741168),Port Lincoln Junior Primary School,40487,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-innisfail-state-high-school,Innisfail State High School,Innisfail State High School,Q6035847,https://en.wikipedia.org/wiki/Innisfail_State_High_School,,,-17.53680833,146.02743056,,suggested,Derived from Wikipedia/Wikidata page Innisfail State High School (Q6035847),Bray Park State High School,47551,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-john-curtin-high-school,John Curtin High School,John Curtin College of the Arts,Q6227965,https://en.wikipedia.org/wiki/John_Curtin_College_of_the_Arts,Australia,City of Fremantle,-32.0487,115.7573,high school,suggested,Derived from Wikipedia/Wikidata page John Curtin College of the Arts (Q6227965),Capel Primary School,48320,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-kambah-high-school,Kambah High School,Kambah,Q1103777,https://en.wikipedia.org/wiki/Kambah,,,-35.38629177,149.06126824,,suggested,Derived from Wikipedia/Wikidata page Kambah (Q1103777),Beaconsfield Primary School - Rottnest Island Campus,50438,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-kilbreda-girls-college,Kilbreda Girls College,Kilbreda College,Q6406579,https://en.wikipedia.org/wiki/Kilbreda_College,Australia,Mentone,-37.98333333,145.06527778,high school,suggested,Derived from Wikipedia/Wikidata page Kilbreda College (Q6406579),Kilbreda College,45712,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-leeming-high-school,Leeming High School,Leeming Senior High School,Q14935848,https://en.wikipedia.org/wiki/Leeming_Senior_High_School,,,-32.075457,115.856899,,suggested,Derived from Wikipedia/Wikidata page Leeming Senior High School (Q14935848),Wangkatjungka Remote Community School,48329,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-loreto-convent-toorak,"Loreto Convent, Toorak",Loreto Mandeville Hall,Q6680935,https://en.wikipedia.org/wiki/Loreto_Mandeville_Hall,Australia,Victoria,-37.84777778,145.01416667,day school,suggested,Derived from Wikipedia/Wikidata page Loreto Mandeville Hall (Q6680935),St Joseph's School,45719,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-lowther-hall-anglican-girls-school,Lowther Hall Anglican Girls School,Lowther Hall Anglican Grammar School,Q6694185,https://en.wikipedia.org/wiki/Lowther_Hall_Anglican_Grammar_School,Australia,Victoria,-37.75944444,144.91444444,high school,suggested,Derived from Wikipedia/Wikidata page Lowther Hall Anglican Grammar School (Q6694185),St Brendan's School,45927,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-lyndale-secondary,Lyndale Secondary,Lyndale Secondary College,Q6708609,https://en.wikipedia.org/wiki/Lyndale_Secondary_College,Australia,Victoria,-37.9574,145.2063,high school,suggested,Derived from Wikipedia/Wikidata page Lyndale Secondary College (Q6708609),Northern School For Autism,45091,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
