parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
46,aph-250156,"STEELE-JOHN, Jordon Alexander",Home educated,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '250156',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-home-educated
47,aph-250156,"STEELE-JOHN, Jordon Alexander",Home educated,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '250156',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-home-educated
48,aph-231027,"TAYLOR, the Hon. Angus James",King's School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231027',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-king-s-school
46,aph-231027,"TAYLOR, the Hon. Angus James",King's School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231027',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-king-s-school
47,aph-231027,"TAYLOR, the Hon. Angus James",King's School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231027',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-king-s-school
48,aph-210911,"TEHAN, the Hon. Daniel (Dan) Thomas",Mansfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '210911',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mansfield-high-school
46,aph-210911,"TEHAN, the Hon. Daniel (Dan) Thomas",Mansfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '210911',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mansfield-high-school
47,aph-210911,"TEHAN, the Hon. Daniel (Dan) Thomas",Mansfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '210911',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mansfield-high-school
48,aph-280304,"THORPE, Lidia Alma",Fitzroy and Collingwood Secondary Schools,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '280304',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-fitzroy-and-collingwood-secondary-school
46,aph-280304,"THORPE, Lidia Alma",Fitzroy and Collingwood Secondary Schools,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '280304',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-fitzroy-and-collingwood-secondary-school
47,aph-280304,"THORPE, Lidia Alma",Fitzroy and Collingwood Secondary Schools,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '280304',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-fitzroy-and-collingwood-secondary-school
48,aph-282212,"THWAITES, the Hon. Kate Lynne",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282212',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
46,aph-282212,"THWAITES, the Hon. Kate Lynne",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282212',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
47,aph-282212,"THWAITES, the Hon. Kate Lynne",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282212',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
48,aph-300639,"TYRRELL, Tammy Marie",Ulverstone High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '300639',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ulverstone-high-school
47,aph-300639,"TYRRELL, Tammy Marie",Ulverstone High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '300639',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ulverstone-high-school
48,aph-231199,"URQUHART, Anne Elizabeth",Ulverstone High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231199',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ulverstone-high-school
46,aph-231199,"URQUHART, Anne Elizabeth",Ulverstone High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231199',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ulverstone-high-school
